municipality,oevk,no_votes18,opp_18,fidesz_18,jobbik18,m_type,no_votes22,fidesz22,opp_alliance22,mi_hazank22,opp_affiliation22,opp_won22,opp22is_jobbik18,mihazank22is_jobbik18,jobbik18on_mihazank22list,jobbik18on_opp22list,jobbik18on_preelection
Martonyi,Borsod-Abaúj-Zemplén megye 3. számú egyéni választókerület,189,48,139,38,Falu,156,127,20,5,MSZP,0,0,0,0,0,1
Mátészalka,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,11287,6037,5059,4911,Középváros,10137,5076,3664,1190,JOBBIK,0,0,1,1,0,0
Mátételke,Bács-Kiskun megye 6. számú egyéni választókerület,250,75,169,48,Falu,236,169,44,17,MOMENTUM,0,0,0,0,0,0
Mátraballa,Heves megye 2. számú egyéni választókerület,447,233,208,193,Falu,470,209,234,24,JOBBIK,0,0,0,0,0,0
Mátraderecske,Heves megye 2. számú egyéni választókerület,1103,474,621,367,Falu,1006,533,427,35,JOBBIK,0,0,0,0,0,0
Mátramindszent,Nógrád megye 1. számú egyéni választókerület,454,189,235,104,Falu,405,248,127,20,DK,0,0,0,0,1,0
Mátranovák,Nógrád megye 1. számú egyéni választókerület,886,366,463,176,Falu,837,503,243,66,DK,0,0,0,0,1,0
Mátraszele,Nógrád megye 1. számú egyéni választókerület,484,222,242,132,Falu,473,284,142,27,DK,0,0,0,0,1,0
Mátraszentimre,Heves megye 2. számú egyéni választókerület,246,138,102,99,Falu,240,116,98,16,JOBBIK,0,0,0,0,0,0
Mátraszőlős,Nógrád megye 1. számú egyéni választókerület,828,367,305,222,Falu,769,402,277,65,DK,0,0,0,0,1,0
Mátraterenye,Nógrád megye 1. számú egyéni választókerület,845,349,439,152,Falu,821,490,237,59,DK,0,0,0,0,1,0
Mátraverebély,Nógrád megye 1. számú egyéni választókerület,770,330,393,218,Falu,813,533,215,41,DK,0,0,0,0,1,0
Matty,Baranya megye 4. számú egyéni választókerület,186,53,122,29,Falu,162,132,21,4,DK,0,0,0,0,0,0
Mátyásdomb,Fejér megye 5. számú egyéni választókerület,341,140,187,109,Falu,367,258,73,21,DK,0,0,0,1,0,0
Mátyus,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,116,26,88,21,Falu,105,93,10,1,DK,0,0,0,0,0,0
Máza,Baranya megye 3. számú egyéni választókerület,597,328,248,160,Falu,587,288,225,56,JOBBIK,0,0,0,0,0,0
Mecseknádasd,Baranya megye 3. számú egyéni választókerület,856,350,479,237,Falu,873,507,307,49,JOBBIK,0,0,0,0,0,0
Mecsekpölöske,Baranya megye 4. számú egyéni választókerület,225,109,108,58,Falu,208,121,60,8,DK,0,0,0,0,0,0
Mecsér,Győr-Moson-Sopron megye 5. számú egyéni választókerület,360,100,255,61,Falu,369,252,76,22,JOBBIK,0,0,0,0,0,0
Medgyesbodzás,Békés megye 4. számú egyéni választókerület,522,246,257,218,Falu,461,248,166,28,JOBBIK,0,1,0,0,0,1
Medgyesegyháza,Békés megye 4. számú egyéni választókerület,1898,1114,732,928,Falu,1742,849,702,123,JOBBIK,0,1,0,0,0,1
Medina,Tolna megye 1. számú egyéni választókerület,384,122,251,38,Falu,374,250,84,26,MSZP,0,0,0,0,0,0
Meggyeskovácsi,Vas megye 3. számú egyéni választókerület,330,111,212,75,Falu,323,230,74,17,LMP,0,0,0,0,0,1
Megyaszó,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,1132,392,720,284,Falu,1117,831,257,0,MSZP,0,0,0,0,0,0
Megyehíd,Vas megye 3. számú egyéni választókerület,195,68,126,49,Falu,183,107,55,18,LMP,0,0,0,0,0,1
Megyer,Veszprém megye 3. számú egyéni választókerület,10,4,6,2,Falu,16,13,1,0,JOBBIK,0,1,0,0,1,1
Méhkerék,Békés megye 3. számú egyéni választókerület,1123,516,591,138,Falu,1184,728,412,22,DK,0,0,0,0,0,0
Méhtelek,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,362,131,221,90,Falu,342,268,66,5,DK,0,0,0,0,0,0
Mekényes,Baranya megye 3. számú egyéni választókerület,139,55,75,21,Falu,129,66,49,8,JOBBIK,0,0,0,0,0,0
Mélykút,Bács-Kiskun megye 5. számú egyéni választókerület,2507,979,1497,796,Kisváros,2311,1394,612,256,DK,0,0,0,0,0,0
Mencshely,Veszprém megye 2. számú egyéni választókerület,161,54,100,44,Falu,170,108,50,2,DK,0,0,0,0,0,0
Mende,Pest megye 10. számú egyéni választókerület,2190,1055,1066,646,Falu,2272,1203,766,157,PÁRBESZÉD,0,0,0,0,0,0
Méra,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,731,329,374,267,Falu,649,415,158,46,JOBBIK,0,0,0,0,0,0
Merenye,Baranya megye 4. számú egyéni választókerület,119,57,58,13,Falu,133,107,24,2,DK,0,0,0,0,0,0
Mérges,Győr-Moson-Sopron megye 3. számú egyéni választókerület,61,18,43,14,Falu,62,52,7,0,MSZP,0,0,0,0,1,1
Mérk,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,996,278,705,172,Falu,1024,827,131,41,JOBBIK,0,0,0,0,0,0
Mernye,Somogy megye 4. számú egyéni választókerület,696,327,359,138,Falu,711,446,230,0,JOBBIK,0,1,0,0,1,1
Mersevát,Vas megye 2. számú egyéni választókerület,363,126,233,77,Falu,366,255,76,25,MSZP,0,0,0,0,0,0
Mesterháza,Vas megye 2. számú egyéni választókerület,101,41,58,21,Falu,93,58,24,9,MSZP,0,0,0,0,0,0
Mesteri,Vas megye 2. számú egyéni választókerület,116,27,88,9,Falu,128,92,19,13,MSZP,0,0,0,0,0,0
Mesterszállás,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,391,166,217,117,Falu,388,229,122,26,JOBBIK,0,1,0,0,1,1
Meszes,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,101,40,58,26,Falu,95,63,21,8,JOBBIK,0,0,0,0,0,0
Meszlen,Vas megye 2. számú egyéni választókerület,149,43,104,16,Falu,132,91,26,7,MSZP,0,0,0,0,0,0
Mesztegnyő,Somogy megye 3. számú egyéni választókerület,679,336,341,275,Falu,620,366,219,35,JOBBIK,0,1,0,0,1,1
Mezőberény,Békés megye 2. számú egyéni választókerület,5109,2728,2239,1769,Kisváros,4773,2494,1667,387,DK,0,0,0,0,0,0
Mezőcsát,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,2956,1043,1842,621,Kisváros,2695,1815,656,145,MSZP,0,0,0,0,0,0
Mezőcsokonya,Somogy megye 3. számú egyéni választókerület,523,230,289,175,Falu,519,340,139,33,JOBBIK,0,1,0,0,1,1
Meződ,Baranya megye 4. számú egyéni választókerület,60,25,31,11,Falu,57,33,14,8,DK,0,0,0,0,0,0
Mezőfalva,Fejér megye 5. számú egyéni választókerület,2242,1232,952,1003,Falu,2206,1163,734,198,DK,0,0,0,1,0,0
Mezőgyán,Békés megye 3. számú egyéni választókerület,532,205,305,86,Falu,506,355,133,4,DK,0,0,0,0,0,0
Mezőhegyes,Békés megye 4. számú egyéni választókerület,2678,1502,1064,1148,Falu,2398,1044,1178,103,JOBBIK,0,1,0,0,0,1
Mezőhék,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,156,77,78,57,Falu,156,104,30,20,JOBBIK,0,1,0,0,1,1
Mezőkeresztes,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,1844,896,917,700,Falu,1778,951,515,210,MSZP,0,0,0,0,0,0
Mezőkomárom,Fejér megye 5. számú egyéni választókerület,470,146,306,121,Falu,446,308,86,34,DK,0,0,0,1,0,0
Mezőkovácsháza,Békés megye 4. számú egyéni választókerület,3205,1666,1422,1366,Kisváros,2840,1425,1154,177,JOBBIK,0,1,0,0,0,1
Mezőkövesd,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,11463,5340,5950,4061,Középváros,10572,5778,3399,804,MSZP,0,0,0,0,0,0
Mezőladány,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,487,126,352,104,Falu,435,352,51,23,JOBBIK,0,0,0,0,1,1
Mezőlak,Veszprém megye 4. számú egyéni választókerület,519,181,333,128,Falu,499,348,105,39,MSZP,0,0,0,0,0,0
Mezőnagymihály,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,585,220,358,138,Falu,527,342,140,34,MSZP,0,0,0,0,0,0
Mezőnyárád,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,912,472,411,372,Falu,883,449,260,112,MSZP,0,0,0,0,0,0
Mezőörs,Győr-Moson-Sopron megye 2. számú egyéni választókerület,504,128,370,94,Falu,515,382,88,34,DK,0,0,0,0,0,0
Mezőpeterd,Hajdú-Bihar megye 4. számú egyéni választókerület,283,114,164,82,Falu,300,182,67,10,MOMENTUM,0,0,0,0,0,0
Mezősas,Hajdú-Bihar megye 4. számú egyéni választókerület,321,158,162,109,Falu,266,142,64,15,MOMENTUM,0,0,0,0,0,0
Mezőszemere,Heves megye 1. számú egyéni választókerület,505,207,280,182,Falu,454,328,78,37,DK,0,0,0,0,0,0
Mezőszentgyörgy,Fejér megye 5. számú egyéni választókerület,528,175,329,147,Falu,532,362,100,49,DK,0,0,0,1,0,0
Mezőszilas,Fejér megye 5. számú egyéni választókerület,912,308,567,252,Falu,947,684,175,44,DK,0,0,0,1,0,0
Mezőtárkány,Heves megye 1. számú egyéni választókerület,744,237,494,194,Falu,700,507,133,40,DK,0,0,0,0,0,0
Mezőtúr,Jász-Nagykun-Szolnok megye 4. számú egyéni választókerület,9051,5183,3738,4209,Középváros,8447,4532,3312,434,JOBBIK,0,1,0,0,1,1
Mezőzombor,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,1046,287,743,220,Falu,1023,745,253,0,MSZP,0,0,0,0,0,0
Miháld,Zala megye 3. számú egyéni választókerület,345,140,197,107,Falu,379,250,87,21,DK,0,0,0,0,0,0
Mihályfa,Zala megye 2. számú egyéni választókerület,223,55,165,43,Falu,211,158,33,14,MOMENTUM,0,0,0,0,0,0
Mihálygerge,Nógrád megye 2. számú egyéni választókerület,333,163,164,85,Falu,305,166,101,25,MOMENTUM,0,0,0,0,0,0
Mihályháza,Veszprém megye 4. számú egyéni választókerület,374,149,220,107,Falu,390,260,101,27,MSZP,0,0,0,0,0,0
Mihályi,Győr-Moson-Sopron megye 3. számú egyéni választókerület,689,185,500,135,Falu,698,563,98,29,MSZP,0,0,0,0,1,1
Mike,Somogy megye 2. számú egyéni választókerület,273,90,176,71,Falu,226,163,48,12,JOBBIK,0,1,0,0,1,1
Mikebuda,Pest megye 10. számú egyéni választókerület,331,132,195,83,Falu,343,234,62,22,PÁRBESZÉD,0,0,0,0,0,0
Mikekarácsonyfa,Zala megye 1. számú egyéni választókerület,147,25,120,17,Falu,121,100,11,6,DK,0,0,0,0,1,1
Mikepércs,Hajdú-Bihar megye 4. számú egyéni választókerület,2418,961,1415,672,Kisváros,2559,1596,636,161,MOMENTUM,0,0,0,0,0,0
Miklósi,Somogy megye 4. számú egyéni választókerület,117,37,78,26,Falu,106,85,17,0,JOBBIK,0,1,0,0,1,1
Mikófalva,Heves megye 2. számú egyéni választókerület,355,124,229,105,Falu,359,238,87,30,JOBBIK,0,0,0,0,0,0
Mikóháza,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,312,177,130,107,Falu,301,148,113,26,JOBBIK,0,0,0,0,0,0
Mikosszéplak,Vas megye 3. számú egyéni választókerület,150,35,111,25,Falu,148,123,20,4,LMP,0,0,0,0,0,1
Milejszeg,Zala megye 1. számú egyéni választókerület,180,47,133,29,Falu,175,125,34,10,DK,0,0,0,0,1,1
Milota,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,515,129,378,88,Falu,454,372,61,14,DK,0,0,0,0,0,0
Mindszent,Csongrád megye 3. számú egyéni választókerület,3470,1558,1800,1318,Kisváros,3388,1954,932,360,JOBBIK,0,0,0,0,0,0
Mindszentgodisa,Baranya megye 4. számú egyéni választókerület,384,150,210,48,Falu,376,261,95,11,DK,0,0,0,0,0,0
Mindszentkálla,Veszprém megye 3. számú egyéni választókerület,169,58,106,51,Falu,140,81,48,0,JOBBIK,0,1,0,0,1,1
Misefa,Zala megye 2. számú egyéni választókerület,170,95,74,63,Falu,167,89,57,13,MOMENTUM,0,0,0,0,0,0
Miske,Bács-Kiskun megye 3. számú egyéni választókerület,909,389,503,279,Falu,813,486,258,34,DK,0,0,0,0,0,0
Miszla,Tolna megye 3. számú egyéni választókerület,159,38,117,24,Falu,168,122,36,7,JOBBIK,0,1,0,0,1,1
Mocsa,Komárom-Esztergom megye 3. számú egyéni választókerület,1162,398,745,258,Falu,1224,788,302,78,MSZP,0,0,0,0,0,0
Mőcsény,Tolna megye 2. számú egyéni választókerület,200,66,118,41,Falu,390,251,90,32,DK,0,0,0,0,0,0
Mogyoród,Pest megye 6. számú egyéni választókerület,3866,1888,1871,786,Falu,178,133,27,13,LMP,0,0,0,0,0,0
Mogyorósbánya,Komárom-Esztergom megye 2. számú egyéni választókerület,530,290,229,231,Kisváros,4315,2161,1538,284,JOBBIK,0,1,0,0,1,1
Mogyoróska,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,44,20,22,17,Falu,528,244,220,30,JOBBIK,0,0,0,0,0,0
Moha,Fejér megye 2. számú egyéni választókerület,304,134,164,93,Falu,54,32,17,3,JOBBIK,0,1,0,0,1,1
Mohács,Baranya megye 3. számú egyéni választókerület,11358,4702,6337,2721,Falu,328,159,96,40,JOBBIK,0,0,0,0,0,0
Mohora,Nógrád megye 2. számú egyéni választókerület,426,190,208,112,Középváros,10821,6090,3543,980,MOMENTUM,0,0,0,0,0,0
Molnári,Zala megye 3. számú egyéni választókerület,403,194,204,156,Falu,420,229,64,107,DK,0,0,0,0,0,0
Molnaszecsőd,Vas megye 3. számú egyéni választókerület,274,77,191,58,Falu,385,225,121,24,LMP,0,0,0,0,0,1
Molvány,Baranya megye 4. számú egyéni választókerület,97,52,42,9,Falu,258,200,39,17,DK,0,0,0,0,0,0
Monaj,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,105,47,54,38,Falu,91,56,21,10,JOBBIK,0,0,0,0,0,0
Monok,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,755,351,387,221,Falu,107,76,21,9,MSZP,0,0,0,0,0,0
Monor,Pest megye 10. számú egyéni választókerület,11130,4912,6040,3084,Falu,770,492,257,0,PÁRBESZÉD,0,0,0,0,0,0
Monorierdő,Pest megye 10. számú egyéni választókerület,2262,1131,1082,696,Középváros,11283,6674,3339,801,PÁRBESZÉD,0,0,0,0,0,0
Mónosbél,Heves megye 2. számú egyéni választókerület,193,93,97,73,Kisváros,2591,1456,725,262,JOBBIK,0,0,0,0,0,0
Monostorapáti,Veszprém megye 3. számú egyéni választókerület,606,229,372,197,Falu,191,100,68,17,JOBBIK,0,1,0,0,1,1
Monostorpályi,Hajdú-Bihar megye 4. számú egyéni választókerület,1067,476,575,329,Falu,630,394,218,0,MOMENTUM,0,0,0,0,0,0
Monoszló,Veszprém megye 2. számú egyéni választókerület,76,40,35,34,Falu,1000,634,219,84,DK,0,0,0,0,0,0
Monyoród,Baranya megye 3. számú egyéni választókerület,83,33,46,19,Falu,67,34,25,3,JOBBIK,0,0,0,0,0,0
Mór,Fejér megye 2. számú egyéni választókerület,8477,3733,4644,2565,Falu,99,54,37,7,JOBBIK,0,1,0,0,1,1
Mórágy,Tolna megye 2. számú egyéni választókerület,390,145,221,94,Kisváros,8016,4460,2288,905,DK,0,0,0,0,0,0
Mórahalom,Csongrád megye 2. számú egyéni választókerület,3663,1374,2217,523,Falu,388,250,96,32,MOMENTUM,0,0,0,0,0,0
Móricgát,Bács-Kiskun megye 4. számú egyéni választókerület,277,80,194,53,Kisváros,3620,2042,863,580,LMP,0,0,0,0,0,0
Mórichida,Győr-Moson-Sopron megye 3. számú egyéni választókerület,489,125,359,94,Falu,253,193,44,8,MSZP,0,0,0,0,1,1
Mosdós,Somogy megye 1. számú egyéni választókerület,423,181,230,130,Falu,523,422,74,20,DK,0,0,0,0,0,0
Mosonmagyaróvár,Győr-Moson-Sopron megye 5. számú egyéni választókerület,18392,8689,9025,5461,Falu,426,263,88,31,JOBBIK,0,0,0,0,0,0
Mosonszentmiklós,Győr-Moson-Sopron megye 5. számú egyéni választókerület,1329,501,777,371,Középváros,18124,9618,6769,785,JOBBIK,0,0,0,0,0,0
Mosonszolnok,Győr-Moson-Sopron megye 5. számú egyéni választókerület,934,349,546,232,Falu,1358,876,327,82,JOBBIK,0,0,0,0,0,0
Mosonudvar,Győr-Moson-Sopron megye 5. számú egyéni választókerület,230,109,113,84,Falu,967,622,270,37,JOBBIK,0,0,0,0,0,0
Mozsgó,Baranya megye 4. számú egyéni választókerület,412,208,191,69,Falu,218,127,58,19,DK,0,0,0,0,0,0
Mucsfa,Tolna megye 2. számú egyéni választókerület,211,45,160,33,Falu,202,164,25,8,DK,0,0,0,0,0,0
Mucsi,Tolna megye 2. számú egyéni választókerület,180,50,122,28,Falu,178,146,18,12,DK,0,0,0,0,0,0
Múcsony,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,1404,785,565,439,Falu,1325,678,493,93,JOBBIK,0,0,0,0,0,0
Muhi,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,299,167,119,124,Falu,277,157,78,30,MSZP,0,0,0,0,0,0
Murakeresztúr,Zala megye 3. számú egyéni választókerület,869,416,436,311,Falu,842,497,248,57,DK,0,0,0,0,0,0
Murarátka,Zala megye 3. számú egyéni választókerület,136,51,85,45,Falu,135,85,39,7,DK,0,0,0,0,0,0
Muraszemenye,Zala megye 3. számú egyéni választókerület,266,107,155,89,Falu,243,161,57,14,DK,0,0,0,0,0,0
Murga,Tolna megye 2. számú egyéni választókerület,42,9,33,4,Falu,39,29,8,1,DK,0,0,0,0,0,0
Murony,Békés megye 2. számú egyéni választókerület,640,303,327,206,Falu,631,340,205,66,DK,0,0,0,0,0,0
Nábrád,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,516,232,260,119,Falu,497,310,144,22,DK,0,0,0,0,0,0
Nadap,Fejér megye 3. számú egyéni választókerület,375,183,188,87,Falu,420,236,133,21,DK,0,0,0,0,1,0
Nádasd,Vas megye 3. számú egyéni választókerület,749,187,555,144,Falu,806,599,145,53,LMP,0,0,0,0,0,1
Nádasdladány,Fejér megye 2. számú egyéni választókerület,950,408,522,309,Falu,923,521,248,105,JOBBIK,0,1,0,0,1,1
Nádudvar,Hajdú-Bihar megye 5. számú egyéni választókerület,4011,1777,2082,1142,Kisváros,4104,2679,1158,217,MOMENTUM,0,0,0,0,0,0
Nágocs,Somogy megye 4. számú egyéni választókerület,292,117,172,54,Falu,266,170,71,0,JOBBIK,0,1,0,0,1,1
Nagyacsád,Veszprém megye 4. számú egyéni választókerület,357,196,159,129,Falu,353,190,124,29,MSZP,0,0,0,0,0,0
Nagyalásony,Veszprém megye 4. számú egyéni választókerület,264,68,194,41,Falu,269,209,43,11,MSZP,0,0,0,0,0,0
Nagyar,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,330,50,200,25,Falu,302,234,40,23,DK,0,0,0,0,0,0
Nagyatád,Somogy megye 2. számú egyéni választókerület,6032,3609,2252,2989,Kisváros,5672,2292,3109,218,JOBBIK,0,1,0,0,1,1
Nagybajcs,Győr-Moson-Sopron megye 1. számú egyéni választókerület,587,210,362,110,Falu,662,402,168,46,DK,0,0,0,1,0,0
Nagybajom,Somogy megye 3. számú egyéni választókerület,1351,609,726,503,Falu,1404,897,447,48,JOBBIK,0,1,0,0,1,1
Nagybakónak,Zala megye 3. számú egyéni választókerület,202,63,138,44,Falu,219,148,48,15,DK,0,0,0,0,0,0
Nagybánhegyes,Békés megye 4. számú egyéni választókerület,730,352,362,287,Falu,651,378,231,29,JOBBIK,0,1,0,0,0,1
Nagybaracska,Bács-Kiskun megye 6. számú egyéni választókerület,1051,342,692,170,Falu,1015,674,242,83,MOMENTUM,0,0,0,0,0,0
Nagybarca,Borsod-Abaúj-Zemplén megye 4. számú egyéni választókerület,447,204,189,128,Falu,400,201,157,20,JOBBIK,0,0,0,0,0,0
Nagybárkány,Nógrád megye 1. számú egyéni választókerület,357,72,269,47,Falu,361,298,49,14,DK,0,0,0,0,1,0
Nagyberény,Somogy megye 4. számú egyéni választókerület,631,268,355,143,Falu,680,436,208,0,JOBBIK,0,1,0,0,1,1
Nagyberki,Somogy megye 1. számú egyéni választókerület,704,335,340,220,Falu,689,385,167,60,DK,0,0,0,0,0,0
Nagybörzsöny,Pest megye 4. számú egyéni választókerület,318,115,194,71,Falu,308,208,73,14,JOBBIK,0,0,0,0,0,0
Nagybudmér,Baranya megye 3. számú egyéni választókerület,96,26,64,20,Falu,109,85,15,6,JOBBIK,0,0,0,0,0,0
Nagycenk,Győr-Moson-Sopron megye 4. számú egyéni választókerület,1249,556,659,301,Falu,1463,849,470,113,JOBBIK,0,1,0,0,1,1
Nagycsány,Baranya megye 4. számú egyéni választókerület,74,35,34,18,Falu,71,32,35,3,DK,0,0,0,0,0,0
Nagycsécs,Borsod-Abaúj-Zemplén megye 7. számú egyéni választókerület,380,153,198,106,Falu,373,276,70,13,MSZP,0,0,0,0,0,0
Nagycsepely,Somogy megye 4. számú egyéni választókerület,210,86,122,42,Falu,210,137,57,0,JOBBIK,0,1,0,0,1,1
Nagycserkesz,Szabolcs-Szatmár-Bereg megye 2. számú egyéni választókerület,685,222,427,163,Falu,706,505,131,55,MSZP,0,0,0,0,0,0
Nagydém,Veszprém megye 4. számú egyéni választókerület,165,40,119,23,Falu,175,132,29,13,MSZP,0,0,0,0,0,0
Nagydobos,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,878,301,539,222,Falu,893,666,177,44,DK,0,0,0,0,0,0
Nagydobsza,Baranya megye 4. számú egyéni választókerület,258,120,134,28,Falu,213,151,40,11,DK,0,0,0,0,0,0
Nagydorog,Tolna megye 3. számú egyéni választókerület,1228,408,793,221,Falu,1240,885,245,83,JOBBIK,0,1,0,0,1,1
Nagyecsed,Szabolcs-Szatmár-Bereg megye 5. számú egyéni választókerület,2751,817,1893,675,Kisváros,2573,1896,471,182,JOBBIK,0,0,1,1,0,0
Nagyér,Csongrád megye 4. számú egyéni választókerület,230,88,137,69,Falu,223,142,69,10,ÚVNP,0,0,0,0,0,0
Nagyesztergár,Veszprém megye 4. számú egyéni választókerület,651,229,416,158,Falu,618,396,139,56,MSZP,0,0,0,0,0,0
Nagyfüged,Heves megye 3. számú egyéni választókerület,679,273,404,211,Falu,703,542,124,29,MSZP,0,0,0,0,0,0
Nagygeresd,Vas megye 2. számú egyéni választókerület,169,74,94,38,Falu,162,106,49,5,MSZP,0,0,0,0,0,0
Nagygörbő,Zala megye 2. számú egyéni választókerület,77,25,52,18,Falu,91,58,24,5,MOMENTUM,0,0,0,0,0,0
Nagygyimót,Veszprém megye 4. számú egyéni választókerület,349,84,264,55,Falu,339,264,55,15,MSZP,0,0,0,0,0,0
Nagyhajmás,Baranya megye 3. számú egyéni választókerület,160,56,96,38,Falu,130,81,32,14,JOBBIK,0,0,0,0,0,0
Nagyhalász,Szabolcs-Szatmár-Bereg megye 3. számú egyéni választókerület,2579,960,1535,726,Kisváros,2525,1741,580,155,JOBBIK,0,0,0,0,1,1
Nagyharsány,Baranya megye 3. számú egyéni választókerület,700,238,438,138,Falu,689,448,178,36,JOBBIK,0,0,0,0,0,0
Nagyhegyes,Hajdú-Bihar megye 5. számú egyéni választókerület,1529,688,800,445,Falu,1603,967,431,146,MOMENTUM,0,0,0,0,0,0
Nagyhódos,Szabolcs-Szatmár-Bereg megye 4. számú egyéni választókerület,82,12,70,8,Falu,69,54,11,3,DK,0,0,0,0,0,0
Nagyhuta,Borsod-Abaúj-Zemplén megye 5. számú egyéni választókerület,35,15,20,13,Falu,38,25,9,0,JOBBIK,0,0,0,0,0,0
Nagyigmánd,Komárom-Esztergom megye 3. számú egyéni választókerület,1605,601,955,330,Falu,1617,1058,412,94,MSZP,0,0,0,0,0,0
Nagyiván,Jász-Nagykun-Szolnok megye 3. számú egyéni választókerület,570,207,355,142,Falu,538,379,137,16,JOBBIK,0,1,0,0,1,1
Nagykálló,Szabolcs-Szatmár-Bereg megye 6. számú egyéni választókerület,4869,2551,2179,1338,Kisváros,4659,2529,1664,258,JOBBIK,0,0,0,0,0,0
Nagykamarás,Békés megye 4. számú egyéni választókerület,653,331,290,297,Falu,582,310,207,37,JOBBIK,0,1,0,0,0,1
Nagykanizsa,Zala megye 3. számú egyéni választókerület,28978,15888,12653,10330,Középváros,26965,12330,12141,1316,DK,0,0,0,0,0,0
Nagykapornak,Zala megye 2. számú egyéni választókerület,431,219,198,145,Falu,464,239,164,38,MOMENTUM,0,0,0,0,0,0
Nagykarácsony,Fejér megye 5. számú egyéni választókerület,726,300,405,247,Falu,710,470,160,49,DK,0,0,0,1,0,0
Nagykáta,Pest megye 9. számú egyéni választókerület,7930,4014,3674,3172,Kisváros,7765,4223,2616,535,LMP,0,0,0,0,0,0
Nagykereki,Hajdú-Bihar megye 4. számú egyéni választókerület,588,180,391,135,Falu,535,438,45,25,MOMENTUM,0,0,0,0,0,0
Nagykeresztúr,Nógrád megye 1. számú egyéni választókerület,158,56,101,36,Falu,149,103,43,2,DK,0,0,0,0,1,0
Nagykinizs,Borsod-Abaúj-Zemplén megye 6. számú egyéni választókerület,174,73,92,54,Falu,142,93,44,0,MSZP,0,0,0,0,0,0
Nagykökényes,Heves megye 3. számú egyéni választókerület,374,126,244,97,Falu,1183,544,420,75,MSZP,0,0,0,0,0,0
Nagykölked,Vas megye 3. számú egyéni választókerület,79,32,43,28,Falu,343,224,66,46,LMP,0,0,0,0,0,1
Nagykónyi,Tolna megye 2. számú egyéni választókerület,520,172,337,106,Falu,479,322,91,52,DK,0,0,0,0,0,0
Nagykőrös,Pest megye 12. számú egyéni választókerület,11800,5237,6257,3759,Falu,85,63,19,2,JOBBIK,0,0,0,0,0,0
Nagykorpád,Somogy megye 2. számú egyéni választókerület,261,96,160,80,Középváros,11680,6886,3474,824,JOBBIK,0,1,0,0,1,1
Nagykörű,Jász-Nagykun-Szolnok megye 1. számú egyéni választókerület,724,317,374,196,Falu,762,492,202,42,DK,0,0,0,0,0,0
Nagykovácsi,Pest megye 2. számú egyéni választókerület,4454,2415,1845,257,Falu,240,169,61,8,MOMENTUM,0,0,0,0,0,0
Nagykozár,Baranya megye 2. számú egyéni választókerület,1109,532,516,234,Kisváros,4935,2180,2359,165,MSZP,0,0,0,0,1,0
Nagykutas,Zala megye 1. számú egyéni választókerület,277,82,185,58,Falu,269,186,47,14,DK,0,0,0,0,1,1
Nagylak,Csongrád megye 4. számú egyéni választókerület,280,90,188,56,Falu,255,191,44,12,ÚVNP,0,0,0,0,0,0
Nagylengyel,Zala megye 1. számú egyéni választókerület,284,104,170,49,Falu,295,167,79,21,DK,0,0,0,0,1,1
Nagylóc,Nógrád megye 2. számú egyéni választókerület,723,282,425,195,Falu,756,524,121,88,MOMENTUM,0,0,0,0,0,0
Nagylók,Fejér megye 5. számú egyéni választókerület,508,240,242,201,Falu,483,282,144,33,DK,0,0,0,1,0,0
Nagylózs,Győr-Moson-Sopron megye 4. számú egyéni választókerület,555,200,332,84,Falu,572,372,147,45,JOBBIK,0,1,0,0,1,1
Nagymágocs,Csongrád megye 3. számú egyéni választókerület,1399,655,709,539,Falu,1353,763,360,156,JOBBIK,0,0,0,0,0,0
Nagymányok,Tolna megye 2. számú egyéni választókerület,1280,524,733,305,Falu,1224,741,369,67,DK,0,0,0,0,0,0
